date,commercial,miditra,montant_miditra,mivoaka,montant_mivoaka
"2026-01-27","Lily","Tezt testsyy jxjxxndd hssbs hddb hdhdd hdddhd hxhdd",05558555,"Test",01234
"2026-01-27","Lily","Shhhsh hddhds dhdbsbhxxb  dhhbbs hdbdsnnhsbbsjjnsjsjjsuns jsb  ss sjjsb s",0585899,"Test test test test teat",0154919
"2026-01-27","Lily","Hxxhzz",055,"Test ",055588
"2026-01-27","Lily","Xbbxb",04,"Testsjjjs zhhzjjsnn zhshshs s  sjsjsssjs hssjssjss hsshssb",3
"2026-01-27","Lily","",0,"",0
"2026-01-27","Lily","",0,"",0
"2026-01-27","Lily","",0,"",0
"2026-01-27","Lily","",0,"",0
"2026-01-27","Lily","",0,"",0
"2026-01-27","Lily","",0,"",0
