date,commercial,miditra,montant_miditra,mivoaka,montant_mivoaka
"2026-01-28","Lily ","Coulissante
87/97,5(2)
Porte Vt cathedral
185,5/77,5

Total :900000
Avance :450.000",450.000,"Nalefa tamin i Anja nandefa tsy banga ",52500
"2026-01-28","Lily ","",0,"Credit ",1000
"2026-01-28","Lily ","",0,"Cafe maraina ",500
"2026-01-28","Lily ","",0,"Sakafo",3500
"2026-01-28","Lily ","",0,"",0
"2026-01-28","Lily ","",0,"",0
"2026-01-28","Lily ","",0,"",0
"2026-01-28","Lily ","",0,"",0
"2026-01-28","Lily ","",0,"",0
"2026-01-28","Lily ","",0,"",0
